station,x_m,z_m
S000,0.0,1.0
S001,4.0,1.0
S002,8.0,1.0
S003,12.0,1.0
S004,16.0,1.0
S005,20.0,1.0
S006,24.0,1.0
S007,28.0,1.0
S008,32.0,1.0
S009,36.0,1.0
S010,40.0,1.0
S011,44.0,1.0
S012,48.0,1.0
S013,52.0,1.0
S014,56.0,1.0
S015,60.0,1.0
S016,64.0,1.0
S017,68.0,1.0
S018,72.0,1.0
S019,76.0,1.0
S020,80.0,1.0
S021,84.0,1.0
S022,88.0,1.0
S023,92.0,1.0
S024,96.0,1.0
S025,100.0,1.0
S026,104.0,1.0
S027,108.0,1.0
S028,112.0,1.0
S029,116.0,1.0
S030,120.0,1.0
S031,124.0,1.0
S032,128.0,1.0
S033,132.0,1.0
S034,136.0,1.0
S035,140.0,1.0
